structure_wikidata,smiles,cas
http://www.wikidata.org/entity/Q423975,CC1=CCC(=CC1)C(C)C,99-85-4
http://www.wikidata.org/entity/Q27257104,CC(=O)C1=CC=CC=C1O,118-93-4
http://www.wikidata.org/entity/Q72510638,CCOC(=O)CC(C(=O)OCC)C(=O)OCC,7459-46-3
http://www.wikidata.org/entity/Q2115736,O=C(C=CC=C(C)CCC=C(C)C)C,141-10-6
http://www.wikidata.org/entity/Q2448755,CCCCC/C=C/C=O,2548-87-0
http://www.wikidata.org/entity/Q3266675,CC1=CC=C(C=C1)C=O,104-87-0
http://www.wikidata.org/entity/Q420449,CC(=CCC/C(=C/CC/C(=C/CO)/C)/C)C,106-28-5
http://www.wikidata.org/entity/Q420630,C(COCCOCCO)O,112-27-6
http://www.wikidata.org/entity/Q419800,CSSC,624-92-0
http://www.wikidata.org/entity/Q907919,CC1=CC(=C(C=C1C)C)C,95-93-2
http://www.wikidata.org/entity/Q27277030,CCCCCCC/C=C/C=O,3913-81-3
http://www.wikidata.org/entity/Q27259468,CC/C=C/CCO,928-97-2
http://www.wikidata.org/entity/Q209438,CC1=CC=CO1,534-22-5
http://www.wikidata.org/entity/Q420652,CCCCC=O,110-62-3
http://www.wikidata.org/entity/Q27135687,CC(=CCC/C(=C/CCC(=O)C)/C)C,3796-70-1
http://www.wikidata.org/entity/Q27147536,CCCCCCCCCCCC(C)=O,593-08-8
http://www.wikidata.org/entity/Q27274087,CCCCCC/C=C\C=O,60784-31-8
http://www.wikidata.org/entity/Q161617,CCCCCCCCCCCCO,112-53-8
http://www.wikidata.org/entity/Q421278,CC(C)C12CCC(=C)C1C2,3387-41-5
http://www.wikidata.org/entity/Q903525,CCCCCCCCCC=O,112-31-2
http://www.wikidata.org/entity/Q27291920,CCCCCCCCCC/C=C/CO,74962-98-4
http://www.wikidata.org/entity/Q15634089,CC(=CCCC1=COC=C1)C,539-52-6
http://www.wikidata.org/entity/Q81976379,OCCC=CCC,544-12-7
http://www.wikidata.org/entity/Q81993343,OCC=CCCCCCCC,22104-80-9
