smiles,EC50_drer,EC50_dmag,EC50_rsub,EC50_scos
C([N+](=O)[O-])(Cl)(Cl)Cl,,1,1,
C/C(=C\C(=O)N(C)C)/OP(=O)(OC)OC,,1,,
C/C(=N\OC(=O)NC)/SC,,1,0,
C/C(=N\OCC1=CC=CC=C1/C(=N\OC)/C(=O)OC)/C2=CC(=CC=C2)C(F)(F)F,,1,1,
C/C=C/C1=CC=C(C=C1)OC,,1,,
C1(=C(C(=C(C(=C1Cl)Cl)Cl)Cl)Cl)[N+](=O)[O-],,1,,
C1(=C(C(C(=C1Cl)Cl)(C2(C(=C(C(=C2Cl)Cl)Cl)Cl)Cl)Cl)Cl)Cl,,1,,
C1(=C(SSC1=O)Cl)Cl,,1,,
C1(=NC(=NC(=N1)NCl)NCl)NCl,,1,,
C1(=NC(=NC(=O)N1)N)N,,0,,
C1(=O)C2(C3(C4(C1(C5(C2(C3(C(C45Cl)(Cl)Cl)Cl)Cl)Cl)Cl)Cl)Cl)Cl,,1,,
C1(=O)N(C(=O)N(C(=O)N1Cl)Cl)Cl,,1,,
C1(=O)NC(=O)NC(=O)N1,,0,0,
C12(C3(C4(C5(C3(C(C1(C5(C2(C4(Cl)Cl)Cl)Cl)Cl)(Cl)Cl)Cl)Cl)Cl)Cl)Cl,,1,,
C1=C(C(=C(C(=C1Cl)Cl)Cl)Cl)Cl,,1,1,1
C1=C(C(=C(C(=C1Cl)Cl)N)Cl)Cl,,1,,
C1=C(C(=CC(=C1Cl)Cl)Cl)N,,1,1,
C1=C(C(=CC(=C1Cl)Cl)Cl)O,,1,1,1
C1=C(C(=NC(=C1Cl)Cl)OCC(=O)O)Cl,,0,0,
C1=C(C=C(C(=C1Cl)Cl)Cl)Cl,,1,0,1
C1=C(C=C(C(=C1Cl)N)Cl)[N+](=O)[O-],,1,,
C1=C(C=C(C(=C1O)C(=O)O)O)O,,1,,
C1=C(C=C(C(=C1O)O)O)C(=O)O,,0,,
C1=C(C=C(C(=C1[N+](=O)[O-])O)[N+](=O)[O-])[N+](=O)[O-],,0,0,0
C1=C(C=C(C=C1C(F)(F)F)C(F)(F)F)CN,,1,1,
C1=C(C=C(C=C1[N+](=O)[O-])[N+](=O)[O-])N,,0,,
C1=C(C=NC(=C1Cl)NC2=C(C=C(C(=C2[N+](=O)[O-])Cl)C(F)(F)F)[N+](=O)[O-])C(F)(F)F,,1,1,
C1=C(OC(=C1)[N+](=O)[O-])/C=N/NC(=O)N,,0,1,
C1=CC(=C(C(=C1)Cl)N)Cl,,1,0,
C1=CC(=C(C(=C1)Cl)O)Cl,,1,0,
C1=CC(=C(C(=C1)F)C(=O)NC(=O)NC2=CC(=C(C(=C2)Cl)OC(C(F)F)(F)F)Cl)F,,1,,
C1=CC(=C(C(=C1)F)C(=O)NC(=O)NC2=CC(=C(C(=C2F)Cl)OC(C(C(F)(F)F)F)(F)F)Cl)F,,1,,
C1=CC(=C(C(=C1)O)C(=O)O)O,,0,,
C1=CC(=C(C(=C1)O)O)C(=O)O,,0,,
C1=CC(=C(C2=C1C(=O)C3=C(C=CC(=C3C2=O)O)O)O)O,,1,,
C1=CC(=C(C2=NC=C(C=C21)Cl)C(=O)O)Cl,,0,1,
C1=CC(=C(C=C1C(=O)O)O)O,,0,,
C1=CC(=C(C=C1Cl)Cl)C(CN2C=NC=N2)COC(C(F)F)(F)F,,1,,
C1=CC(=C(C=C1Cl)Cl)Cl,,1,0,1
C1=CC(=C(C=C1Cl)Cl)OCCCC(=O)O,,0,,
C1=CC(=C(C=C1Cl)O)OC2=C(C=C(C=C2)Cl)Cl,,1,1,1
C1=CC(=C(C=C1Cl)[N+](=O)[O-])N,,1,1,
C1=CC(=C(C=C1F)F)N,,1,,
